id,rating,Movies_id,user_id
25,4,6,7
26,5,8,7
27,5,13,7
28,3,12,7
29,4,22,7
30,2,19,7
31,4,19,8
32,5,14,8
33,4,26,8
34,3,25,8
35,4,29,8
36,3,27,8
37,3,106,8
38,1,24,8
40,3,20,9
41,5,29,9
42,3,28,9
43,3,49,9
44,1,23,9
45,3,108,10
46,4,25,10
47,2,24,10
48,5,29,10
49,4,33,10
50,4,32,10
51,3,27,10
52,2,52,10
53,4,26,11
54,3,28,11
55,3,27,11
56,2,37,11
57,4,36,11
58,5,35,11
59,2,42,11
60,4,73,11
61,4,32,12
62,2,33,12
63,3,35,12
64,5,47,12
65,3,41,12
66,5,50,12
67,4,40,13
68,4,42,13
69,3,41,13
70,2,51,13
71,3,58,13
72,5,57,13
73,3,48,13
74,1,10,13
75,4,54,14
76,3,55,14
77,3,44,14
78,2,45,14
79,5,8,14
80,2,12,14
82,3,15,15
83,5,21,15
84,3,20,15
85,3,43,15
86,2,37,15
87,2,61,15
88,5,44,15
89,3,51,15
90,3,51,16
91,5,50,16
92,4,49,16
93,1,6,16
95,3,48,16
96,4,6,17
97,3,13,17
98,2,14,17
99,4,17,17
100,5,33,17
101,2,36,17
102,3,30,17
103,4,20,18
104,3,21,18
105,5,22,18
106,4,19,18
107,2,29,18
108,5,28,18
109,1,33,18
110,4,35,19
111,3,34,19
112,2,29,19
113,3,8,19
114,3,40,19
115,5,74,19
116,1,59,19
117,3,53,20
118,5,32,20
119,5,38,20
120,1,42,20
121,2,65,20
122,3,28,20
123,3,51,20
124,3,52,21
125,4,53,21
126,3,50,21
127,4,50,21
128,2,60,21
129,5,67,21
130,4,56,21
131,4,62,22
132,3,61,22
133,3,36,22
134,5,27,22
135,3,70,22
136,2,68,22
137,5,71,22
138,2,72,22
139,4,41,23
140,3,46,23
141,2,43,23
142,4,62,23
143,3,70,23
144,2,68,23
145,4,6,24
146,3,41,24
147,5,35,24
148,4,31,24
149,3,34,24
150,2,33,24
151,3,64,24
152,3,26,24
153,3,86,24
154,2,12,24
155,5,8,24
156,3,104,25
157,4,108,25
158,2,102,25
159,3,103,25
160,1,80,25
161,3,62,25
163,2,10,26
164,4,6,26
165,3,21,26
166,2,30,26
167,4,48,26
168,3,22,26
169,2,24,26
170,2,27,26
171,2,53,26
172,3,54,26
173,2,55,26
174,3,34,27
175,4,17,27
176,5,16,27
177,3,18,27
178,3,27,27
179,1,10,27
181,2,57,27
182,2,63,27
183,4,29,27
184,4,49,27
185,4,13,28
186,4,19,28
187,2,6,28
188,3,30,28
189,3,40,28
190,1,22,28
191,2,36,28
192,4,54,28
193,3,60,29
194,2,61,29
195,5,43,29
196,3,46,29
197,2,56,29
198,4,55,29
199,1,54,29
200,4,62,29
201,2,78,29
202,3,76,29
203,3,107,30
204,4,105,30
205,2,101,30
206,3,100,30
207,3,99,30
208,4,100,31
209,3,107,31
210,3,98,31
211,3,97,31
212,3,96,31
213,4,94,32
214,3,93,32
215,2,91,32
216,4,90,32
217,2,89,32
218,4,12,32
219,3,87,32
220,3,85,32
221,4,83,33
222,5,82,33
223,3,79,33
224,2,78,33
225,3,77,33
226,5,76,33
227,3,66,34
228,3,39,34
229,3,74,34
230,3,75,34
231,5,105,34
232,2,84,34
233,5,81,34
234,2,95,34
235,4,103,34
236,3,8,34
237,2,10,34
238,3,28,35
239,3,33,35
240,2,51,35
241,5,66,35
242,2,63,35
243,3,76,35
244,5,94,35
245,3,108,35
246,3,102,35
247,3,69,1
248,4,88,1
249,3,101,36
250,4,102,36
251,4,71,36
252,3,57,36
253,3,72,36
254,4,92,36
255,3,50,36
256,3,22,36
257,3,91,36
258,3,85,36
259,5,76,36
260,3,17,37
261,2,19,37
262,4,23,37
263,3,29,37
264,5,34,37
265,2,38,37
266,4,53,37
267,2,63,37
268,3,102,37
269,4,100,37
270,3,22,38
271,2,21,38
272,3,37,38
273,4,44,38
274,3,63,38
275,3,69,38
276,3,60,38
277,3,73,38
278,2,77,38
279,3,36,39
280,2,25,39
281,4,34,39
282,3,44,39
283,5,32,39
284,2,43,39
285,3,60,39
286,3,66,39
287,3,69,39
288,5,79,39
289,3,78,39
290,3,105,40
291,4,67,40
292,5,76,40
293,3,75,40
294,2,92,40
295,3,73,40
296,5,82,40
297,3,94,40
298,2,103,40
299,1,33,40
300,4,87,41
301,3,93,41
302,3,97,41
303,2,99,41
304,3,90,41
305,3,100,41
306,4,91,41
307,2,84,41
308,4,88,41
309,3,29,42
310,4,55,42
311,3,54,42
312,2,53,42
313,3,72,42
314,3,74,42
315,2,99,42
316,2,106,42
317,2,88,42
318,3,40,42
319,2,38,42
320,3,41,43
321,2,8,43
322,4,35,43
323,3,43,43
324,3,53,43
325,3,52,43
326,3,66,43
327,3,68,43
328,2,69,43
329,4,87,43
330,1,81,43
331,3,106,43
332,2,105,43
333,3,46,44
334,3,10,44
335,2,12,44
336,3,54,44
337,2,44,44
338,5,59,44
339,2,47,44
340,2,93,44
341,4,94,44
342,3,87,44
343,1,72,44
344,2,49,44
345,3,15,45
346,3,16,45
347,2,39,45
348,5,21,45
349,3,36,45
350,2,61,45
351,5,66,45
352,3,76,45
353,2,6,45
354,3,94,45
355,1,48,45
356,3,105,45
357,3,41,46
358,2,34,46
359,4,47,46
360,2,54,46
361,4,60,46
362,2,57,46
363,3,75,46
364,3,105,46
365,2,106,46
366,5,107,46
367,3,108,46
368,3,8,46
369,3,55,48
370,2,33,48
371,4,39,48
372,2,70,48
373,3,68,48
374,3,91,48
375,3,75,48
376,3,105,48
377,3,88,48
378,2,73,48
379,4,50,48
380,3,98,48
381,3,88,48
382,3,66,48
383,4,63,48
384,2,13,10
385,4,18,10
386,3,15,10
387,4,8,50
388,5,23,50
389,3,26,50
390,3,35,50
391,4,21,50
392,3,36,50
